2018-04-20 09:19:25,570 - rrc-process[3] - INFO - [('地区及品牌', '温州', '红旗', '车辆数:', 0, '耗时:', 0.8770406246185303, '秒')] - [renrenche.py:416]
2018-04-20 09:19:26,462 - rrc-process[3] - INFO - [('地区及品牌', '温州', '黄海', '车辆数:', 0, '耗时:', 0.8394680023193359, '秒')] - [renrenche.py:416]
2018-04-20 09:19:27,379 - rrc-process[3] - INFO - [('地区及品牌', '温州', '华泰', '车辆数:', 0, '耗时:', 0.8771789073944092, '秒')] - [renrenche.py:416]
2018-04-20 09:19:28,244 - rrc-process[3] - INFO - [('地区及品牌', '温州', 'Jeep', '车辆数:', 0, '耗时:', 0.8319752216339111, '秒')] - [renrenche.py:416]
2018-04-20 09:19:29,202 - rrc-process[3] - INFO - [('地区及品牌', '温州', '江淮', '车辆数:', 0, '耗时:', 0.9133179187774658, '秒')] - [renrenche.py:416]
2018-04-20 09:19:29,978 - rrc-process[3] - INFO - [('地区及品牌', '温州', '江铃', '车辆数:', 0, '耗时:', 0.7402565479278564, '秒')] - [renrenche.py:416]
2018-04-20 09:19:30,897 - rrc-process[3] - INFO - [('地区及品牌', '温州', '捷豹', '车辆数:', 0, '耗时:', 0.8835422992706299, '秒')] - [renrenche.py:416]
2018-04-20 09:19:31,694 - rrc-process[3] - INFO - [('地区及品牌', '温州', '吉利汽车', '车辆数:', 0, '耗时:', 0.7524299621582031, '秒')] - [renrenche.py:416]
2018-04-20 09:19:32,604 - rrc-process[3] - INFO - [('地区及品牌', '温州', '金杯', '车辆数:', 0, '耗时:', 0.8798003196716309, '秒')] - [renrenche.py:416]
2018-04-20 09:19:33,540 - rrc-process[3] - INFO - [('地区及品牌', '温州', '凯迪拉克', '车辆数:', 0, '耗时:', 0.8986797332763672, '秒')] - [renrenche.py:416]
2018-04-20 09:19:34,491 - rrc-process[3] - INFO - [('地区及品牌', '温州', '开瑞', '车辆数:', 0, '耗时:', 0.9153838157653809, '秒')] - [renrenche.py:416]
2018-04-20 09:19:35,383 - rrc-process[3] - INFO - [('地区及品牌', '温州', '克莱斯勒', '车辆数:', 0, '耗时:', 0.8631749153137207, '秒')] - [renrenche.py:416]
2018-04-20 09:19:36,219 - rrc-process[3] - INFO - [('地区及品牌', '温州', '雷克萨斯', '车辆数:', 0, '耗时:', 0.8024625778198242, '秒')] - [renrenche.py:416]
2018-04-20 09:19:37,174 - rrc-process[3] - INFO - [('地区及品牌', '温州', '雷诺', '车辆数:', 0, '耗时:', 0.9117236137390137, '秒')] - [renrenche.py:416]
2018-04-20 09:19:37,976 - rrc-process[3] - INFO - [('地区及品牌', '温州', '莲花汽车', '车辆数:', 0, '耗时:', 0.7613813877105713, '秒')] - [renrenche.py:416]
2018-04-20 09:19:38,819 - rrc-process[3] - INFO - [('地区及品牌', '温州', '猎豹汽车', '车辆数:', 0, '耗时:', 0.8072810173034668, '秒')] - [renrenche.py:416]
2018-04-20 09:19:39,745 - rrc-process[3] - INFO - [('地区及品牌', '温州', '力帆汽车', '车辆数:', 0, '耗时:', 0.8594746589660645, '秒')] - [renrenche.py:416]
2018-04-20 09:19:40,496 - rrc-process[3] - INFO - [('地区及品牌', '温州', '铃木', '车辆数:', 0, '耗时:', 0.7160894870758057, '秒')] - [renrenche.py:416]
2018-04-20 09:19:41,376 - rrc-process[3] - INFO - [('地区及品牌', '温州', '理念', '车辆数:', 0, '耗时:', 0.8450412750244141, '秒')] - [renrenche.py:416]
2018-04-20 09:19:42,255 - rrc-process[3] - INFO - [('地区及品牌', '温州', '林肯', '车辆数:', 0, '耗时:', 0.8437035083770752, '秒')] - [renrenche.py:416]
2018-04-20 09:19:43,158 - rrc-process[3] - INFO - [('地区及品牌', '温州', '陆风', '车辆数:', 0, '耗时:', 0.8580014705657959, '秒')] - [renrenche.py:416]
2018-04-20 09:19:44,018 - rrc-process[3] - INFO - [('地区及品牌', '温州', '路虎', '车辆数:', 0, '耗时:', 0.8157272338867188, '秒')] - [renrenche.py:416]
2018-04-20 09:19:44,907 - rrc-process[3] - INFO - [('地区及品牌', '温州', 'MG', '车辆数:', 0, '耗时:', 0.8551218509674072, '秒')] - [renrenche.py:416]
2018-04-20 09:19:45,643 - rrc-process[3] - INFO - [('地区及品牌', '温州', 'MINI', '车辆数:', 0, '耗时:', 0.7039330005645752, '秒')] - [renrenche.py:416]
2018-04-20 09:19:46,486 - rrc-process[3] - INFO - [('地区及品牌', '温州', '马自达', '车辆数:', 0, '耗时:', 0.7876343727111816, '秒')] - [renrenche.py:416]
2018-04-20 09:19:47,455 - rrc-process[3] - INFO - [('地区及品牌', '温州', '纳智捷', '车辆数:', 0, '耗时:', 0.9321694374084473, '秒')] - [renrenche.py:416]
2018-04-20 09:19:48,233 - rrc-process[3] - INFO - [('地区及品牌', '温州', '欧宝', '车辆数:', 0, '耗时:', 0.7354128360748291, '秒')] - [renrenche.py:416]
2018-04-20 09:19:49,160 - rrc-process[3] - INFO - [('地区及品牌', '温州', '讴歌', '车辆数:', 0, '耗时:', 0.8960580825805664, '秒')] - [renrenche.py:416]
2018-04-20 09:19:49,822 - rrc-process[3] - INFO - [('地区及品牌', '温州', '启辰', '车辆数:', 0, '耗时:', 0.6301279067993164, '秒')] - [renrenche.py:416]
2018-04-20 09:19:50,747 - rrc-process[3] - INFO - [('地区及品牌', '温州', '奇瑞', '车辆数:', 0, '耗时:', 0.8810265064239502, '秒')] - [renrenche.py:416]
2018-04-20 09:19:52,670 - rrc-process[3] - INFO - [('地区及品牌', '温州', '起亚', '车辆数:', 0, '耗时:', 1.8246853351593018, '秒')] - [renrenche.py:416]
2018-04-20 09:19:54,518 - rrc-process[3] - INFO - [('地区及品牌', '温州', '日产', '车辆数:', 0, '耗时:', 1.7641947269439697, '秒')] - [renrenche.py:416]
2018-04-20 09:19:55,587 - rrc-process[3] - INFO - [('地区及品牌', '温州', '荣威', '车辆数:', 0, '耗时:', 1.0068154335021973, '秒')] - [renrenche.py:416]
2018-04-20 09:19:56,406 - rrc-process[3] - INFO - [('地区及品牌', '温州', '瑞麒', '车辆数:', 0, '耗时:', 0.7827944755554199, '秒')] - [renrenche.py:416]
2018-04-20 09:19:57,248 - rrc-process[3] - INFO - [('地区及品牌', '温州', '三菱', '车辆数:', 0, '耗时:', 0.80908203125, '秒')] - [renrenche.py:416]
2018-04-20 09:19:58,072 - rrc-process[3] - INFO - [('地区及品牌', '温州', '上汽大通', '车辆数:', 0, '耗时:', 0.7893707752227783, '秒')] - [renrenche.py:416]
2018-04-20 09:19:58,908 - rrc-process[3] - INFO - [('地区及品牌', '温州', '双环', '车辆数:', 0, '耗时:', 0.785475492477417, '秒')] - [renrenche.py:416]
2018-04-20 09:19:59,922 - rrc-process[3] - INFO - [('地区及品牌', '温州', '双龙', '车辆数:', 0, '耗时:', 0.9515194892883301, '秒')] - [renrenche.py:416]
2018-04-20 09:20:00,791 - rrc-process[3] - INFO - [('地区及品牌', '温州', '斯巴鲁', '车辆数:', 0, '耗时:', 0.8334026336669922, '秒')] - [renrenche.py:416]
2018-04-20 09:20:01,528 - rrc-process[3] - INFO - [('地区及品牌', '温州', '斯柯达', '车辆数:', 0, '耗时:', 0.701430082321167, '秒')] - [renrenche.py:416]
2018-04-20 09:20:02,304 - rrc-process[3] - INFO - [('地区及品牌', '温州', '思铭', '车辆数:', 0, '耗时:', 0.7413461208343506, '秒')] - [renrenche.py:416]
2018-04-20 09:20:03,034 - rrc-process[3] - INFO - [('地区及品牌', '温州', '斯威汽车', '车辆数:', 0, '耗时:', 0.6941885948181152, '秒')] - [renrenche.py:416]
2018-04-20 09:20:03,941 - rrc-process[3] - INFO - [('地区及品牌', '温州', 'smart', '车辆数:', 0, '耗时:', 0.851982831954956, '秒')] - [renrenche.py:416]
2018-04-20 09:20:04,834 - rrc-process[3] - INFO - [('地区及品牌', '温州', '特斯拉', '车辆数:', 0, '耗时:', 0.853273868560791, '秒')] - [renrenche.py:416]
2018-04-20 09:20:05,621 - rrc-process[3] - INFO - [('地区及品牌', '温州', '沃尔沃', '车辆数:', 0, '耗时:', 0.734766960144043, '秒')] - [renrenche.py:416]
2018-04-20 09:20:07,527 - rrc-process[3] - INFO - [('地区及品牌', '温州', '五菱汽车', '车辆数:', 0, '耗时:', 1.8261916637420654, '秒')] - [renrenche.py:416]
2018-04-20 09:20:10,765 - rrc-process[3] - INFO - [('地区及品牌', '温州', '现代', '车辆数:', 0, '耗时:', 3.0778849124908447, '秒')] - [renrenche.py:416]
2018-04-20 09:20:12,904 - rrc-process[3] - INFO - [('地区及品牌', '温州', '雪佛兰', '车辆数:', 0, '耗时:', 2.058990001678467, '秒')] - [renrenche.py:416]
2018-04-20 09:20:13,819 - rrc-process[3] - INFO - [('地区及品牌', '温州', '雪铁龙', '车辆数:', 0, '耗时:', 0.8702852725982666, '秒')] - [renrenche.py:416]
2018-04-20 09:20:14,657 - rrc-process[3] - INFO - [('地区及品牌', '温州', '野马汽车', '车辆数:', 0, '耗时:', 0.7769875526428223, '秒')] - [renrenche.py:416]
2018-04-20 09:20:15,504 - rrc-process[3] - INFO - [('地区及品牌', '温州', '英菲尼迪', '车辆数:', 0, '耗时:', 0.8116412162780762, '秒')] - [renrenche.py:416]
2018-04-20 09:20:16,335 - rrc-process[3] - INFO - [('地区及品牌', '温州', '一汽', '车辆数:', 0, '耗时:', 0.7994711399078369, '秒')] - [renrenche.py:416]
2018-04-20 09:20:17,065 - rrc-process[3] - INFO - [('地区及品牌', '温州', '依维柯', '车辆数:', 0, '耗时:', 0.6935036182403564, '秒')] - [renrenche.py:416]
2018-04-20 09:20:17,972 - rrc-process[3] - INFO - [('地区及品牌', '温州', '永源', '车辆数:', 0, '耗时:', 0.8727424144744873, '秒')] - [renrenche.py:416]
2018-04-20 09:20:18,972 - rrc-process[3] - INFO - [('地区及品牌', '温州', '中华', '车辆数:', 0, '耗时:', 0.9462921619415283, '秒')] - [renrenche.py:416]
2018-04-20 09:20:19,937 - rrc-process[3] - INFO - [('地区及品牌', '温州', '众泰', '车辆数:', 0, '耗时:', 0.901085615158081, '秒')] - [renrenche.py:416]
