2018-04-20 09:20:11,230 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '观致', '车辆数:', 0, '耗时:', 0.8196830749511719, '秒')] - [renrenche.py:416]
2018-04-20 09:20:13,399 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '哈飞', '车辆数:', 0, '耗时:', 2.0774354934692383, '秒')] - [renrenche.py:416]
2018-04-20 09:20:18,851 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '哈弗', '车辆数:', 0, '耗时:', 5.124431371688843, '秒')] - [renrenche.py:416]
2018-04-20 09:20:19,899 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '海马', '车辆数:', 0, '耗时:', 0.986515998840332, '秒')] - [renrenche.py:416]
2018-04-20 09:20:20,686 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '汉腾汽车', '车辆数:', 0, '耗时:', 0.7401540279388428, '秒')] - [renrenche.py:416]
2018-04-20 09:20:21,548 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '红旗', '车辆数:', 0, '耗时:', 0.8241491317749023, '秒')] - [renrenche.py:416]
2018-04-20 09:20:22,357 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '黄海', '车辆数:', 0, '耗时:', 0.7647268772125244, '秒')] - [renrenche.py:416]
2018-04-20 09:20:23,337 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '华泰', '车辆数:', 0, '耗时:', 0.9402468204498291, '秒')] - [renrenche.py:416]
2018-04-20 09:20:24,103 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', 'Jeep', '车辆数:', 0, '耗时:', 0.7197463512420654, '秒')] - [renrenche.py:416]
2018-04-20 09:20:27,096 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '江淮', '车辆数:', 0, '耗时:', 2.829476833343506, '秒')] - [renrenche.py:416]
2018-04-20 09:20:27,764 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '江铃', '车辆数:', 0, '耗时:', 0.6345317363739014, '秒')] - [renrenche.py:416]
2018-04-20 09:20:28,439 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '捷豹', '车辆数:', 0, '耗时:', 0.6407301425933838, '秒')] - [renrenche.py:416]
2018-04-20 09:20:30,282 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '吉利汽车', '车辆数:', 0, '耗时:', 1.7545757293701172, '秒')] - [renrenche.py:416]
2018-04-20 09:20:31,216 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '金杯', '车辆数:', 0, '耗时:', 0.8875195980072021, '秒')] - [renrenche.py:416]
2018-04-20 09:20:31,962 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '金旅', '车辆数:', 0, '耗时:', 0.7094247341156006, '秒')] - [renrenche.py:416]
2018-04-20 09:20:32,951 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '九龙', '车辆数:', 0, '耗时:', 0.9475433826446533, '秒')] - [renrenche.py:416]
2018-04-20 09:20:33,690 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '凯迪拉克', '车辆数:', 0, '耗时:', 0.6997768878936768, '秒')] - [renrenche.py:416]
2018-04-20 09:20:34,529 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '开瑞', '车辆数:', 0, '耗时:', 0.7972629070281982, '秒')] - [renrenche.py:416]
2018-04-20 09:20:35,199 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '凯翼', '车辆数:', 0, '耗时:', 0.6373987197875977, '秒')] - [renrenche.py:416]
2018-04-20 09:20:36,057 - rrc-process[1] - INFO - [('地区及品牌', '哈尔滨', '克莱斯勒', '车辆数:', 0, '耗时:', 0.8172376155853271, '秒')] - [renrenche.py:416]
