2018-04-20 09:19:20,871 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '海马', '车辆数:', 0, '耗时:', 0.8562397956848145, '秒')] - [renrenche.py:416]
2018-04-20 09:19:21,700 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '红旗', '车辆数:', 0, '耗时:', 0.778933048248291, '秒')] - [renrenche.py:416]
2018-04-20 09:19:22,680 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '黄海', '车辆数:', 0, '耗时:', 0.9141855239868164, '秒')] - [renrenche.py:416]
2018-04-20 09:19:23,465 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '华普', '车辆数:', 0, '耗时:', 0.7334446907043457, '秒')] - [renrenche.py:416]
2018-04-20 09:19:24,376 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '华泰', '车辆数:', 0, '耗时:', 0.868046760559082, '秒')] - [renrenche.py:416]
2018-04-20 09:19:25,269 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', 'Jeep', '车辆数:', 0, '耗时:', 0.8542780876159668, '秒')] - [renrenche.py:416]
2018-04-20 09:19:26,211 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '江淮', '车辆数:', 0, '耗时:', 0.9027702808380127, '秒')] - [renrenche.py:416]
2018-04-20 09:19:26,954 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '江铃', '车辆数:', 0, '耗时:', 0.7123935222625732, '秒')] - [renrenche.py:416]
2018-04-20 09:19:27,771 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '捷豹', '车辆数:', 0, '耗时:', 0.7635574340820312, '秒')] - [renrenche.py:416]
2018-04-20 09:19:28,633 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '吉利汽车', '车辆数:', 0, '耗时:', 0.8101420402526855, '秒')] - [renrenche.py:416]
2018-04-20 09:19:29,631 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '金杯', '车辆数:', 0, '耗时:', 0.9557440280914307, '秒')] - [renrenche.py:416]
2018-04-20 09:19:30,461 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '凯迪拉克', '车辆数:', 0, '耗时:', 0.783273458480835, '秒')] - [renrenche.py:416]
2018-04-20 09:19:31,384 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '开瑞', '车辆数:', 0, '耗时:', 0.8870644569396973, '秒')] - [renrenche.py:416]
2018-04-20 09:19:32,063 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '凯翼', '车辆数:', 0, '耗时:', 0.6393749713897705, '秒')] - [renrenche.py:416]
2018-04-20 09:19:32,879 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '卡威', '车辆数:', 0, '耗时:', 0.7797331809997559, '秒')] - [renrenche.py:416]
2018-04-20 09:19:33,672 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '克莱斯勒', '车辆数:', 0, '耗时:', 0.7619378566741943, '秒')] - [renrenche.py:416]
2018-04-20 09:19:34,659 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '雷克萨斯', '车辆数:', 0, '耗时:', 0.9528801441192627, '秒')] - [renrenche.py:416]
2018-04-20 09:19:35,598 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '猎豹汽车', '车辆数:', 0, '耗时:', 0.9066073894500732, '秒')] - [renrenche.py:416]
2018-04-20 09:19:36,509 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '力帆汽车', '车辆数:', 0, '耗时:', 0.8688449859619141, '秒')] - [renrenche.py:416]
2018-04-20 09:19:37,340 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '铃木', '车辆数:', 0, '耗时:', 0.7856945991516113, '秒')] - [renrenche.py:416]
2018-04-20 09:19:38,042 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '理念', '车辆数:', 0, '耗时:', 0.6644065380096436, '秒')] - [renrenche.py:416]
2018-04-20 09:19:38,759 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '陆风', '车辆数:', 0, '耗时:', 0.6845173835754395, '秒')] - [renrenche.py:416]
2018-04-20 09:19:39,707 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '路虎', '车辆数:', 0, '耗时:', 0.8931879997253418, '秒')] - [renrenche.py:416]
2018-04-20 09:19:40,660 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', 'MG', '车辆数:', 0, '耗时:', 0.9176061153411865, '秒')] - [renrenche.py:416]
2018-04-20 09:19:41,554 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', 'MINI', '车辆数:', 0, '耗时:', 0.8620326519012451, '秒')] - [renrenche.py:416]
2018-04-20 09:19:42,590 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '玛莎拉蒂', '车辆数:', 0, '耗时:', 0.9969778060913086, '秒')] - [renrenche.py:416]
2018-04-20 09:19:43,452 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '马自达', '车辆数:', 0, '耗时:', 0.8104901313781738, '秒')] - [renrenche.py:416]
2018-04-20 09:19:44,291 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '纳智捷', '车辆数:', 0, '耗时:', 0.8038685321807861, '秒')] - [renrenche.py:416]
2018-04-20 09:19:45,012 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '欧宝', '车辆数:', 0, '耗时:', 0.6839485168457031, '秒')] - [renrenche.py:416]
2018-04-20 09:19:45,826 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '欧朗', '车辆数:', 0, '耗时:', 0.7782192230224609, '秒')] - [renrenche.py:416]
2018-04-20 09:19:46,749 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '启辰', '车辆数:', 0, '耗时:', 0.8921802043914795, '秒')] - [renrenche.py:416]
2018-04-20 09:19:48,534 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '奇瑞', '车辆数:', 0, '耗时:', 1.706071376800537, '秒')] - [renrenche.py:416]
2018-04-20 09:19:50,421 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '起亚', '车辆数:', 0, '耗时:', 1.7954468727111816, '秒')] - [renrenche.py:416]
2018-04-20 09:19:54,225 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '日产', '车辆数:', 0, '耗时:', 3.5603954792022705, '秒')] - [renrenche.py:416]
2018-04-20 09:19:54,915 - rrc-process[0] - INFO - [('地区及品牌', '鞍山', '荣威', '车辆数:', 0, '耗时:', 0.6515393257141113, '秒')] - [renrenche.py:416]
